21B001;oculus quest
20A102;mBot v2
20A103;mBot v2
21C104;Elecfreaks Smart Home Kit: sada micro:bit
21C105;Elecfreaks Smart Home Kit: sada micro:bit
21C106;Elecfreaks micro:bit - IoT kit: sada micro:bit
21C107;Elecfreaks micro:bit - IoT kit: sada micro:bit
21C108;Raspberry PI - V4 - 4G
21C109;Raspberry PI - V4 - 4G
21C110;Raspberry PI - V4 - 4G
21C111;Raspberry PI - V4 - 4G
21C112;Google Voice kit V2
21C113;Google Voice kit V2
21C114;Google Voice kit V2
21C115;Google Voice kit V2
22C116;STEM Výukový Robot, Micro:Maqueen Plus, Micro:bit Deska + HUSKYLENS - Senzor AI Strojového Vidění
22C117;STEM Výukový Robot, Micro:Maqueen Plus, Micro:bit Deska + HUSKYLENS - Senzor AI Strojového Vidění
22C118;STEM Výukový Robot, Micro:Maqueen Plus, Micro:bit Deska + HUSKYLENS - Senzor AI Strojového Vidění
22C119;STEM Výukový Robot, Micro:Maqueen Plus, Micro:bit Deska + HUSKYLENS - Senzor AI Strojového Vidění
20A120;Lenovo Tab M10 Gen1
20A121;Lenovo Tab M10 Gen1
20A122;Lenovo Tab M10 Gen1
20A123;Lenovo Tab M10 Gen1
20A124;Lenovo Tab M10 Gen1
SITMP125010;Apple Ipad 7th Gen
SITMP125011;Apple Ipad 7th Gen
SITMP117240;Apple Ipad
SITMP117234;Apple Ipad
SITMP117233;Apple Ipad
23A125;Lenovo Tab M10 Plus Gen3
23A126;Lenovo Tab M10 Plus Gen3
23A127;Lenovo Tab M10 Plus Gen3
23A128;Lenovo Tab M10 Plus Gen3
23A129;Lenovo Tab M10 Plus Gen3
23B130;Meta Quest 2
23B131;Meta Quest 2
23B132;Meta Quest 2
23B133;Meta Quest 2
23B134;Meta Quest 2
23A135;Lenovo Legion 5 Pro
23B136;Sony α ZV-E10
23B137;Viltrox VL-500T
23B138;weeylite ninja 200
23B139;weeylite VP-45
